iso3,year,salt_intake_pd_median,salt_intake_pd_median_female,salt_intake_pd_median_male
KAZ,2007,2.11,1.95,2.16
KAZ,2008,2.12,1.95,2.17
KAZ,2009,2.12,1.96,2.18
KAZ,2010,2.17,1.99,2.24
KAZ,2011,2.14,1.97,2.19
KAZ,2012,2.14,1.97,2.2
KAZ,2013,2.15,1.98,2.2
KAZ,2014,2.15,1.98,2.21
KAZ,2015,2.16,1.99,2.21
KAZ,2016,2.17,1.99,2.23
KAZ,2017,2.17,2.0,2.23
KAZ,2018,2.15,1.98,2.21
KAZ,2019,2.19,2.01,2.25
KAZ,2020,2.19,2.01,2.26
KEN,2000,0.81,0.76,0.86
KEN,2001,0.82,0.77,0.87
KEN,2002,0.82,0.77,0.87
KEN,2003,0.82,0.77,0.87
KEN,2004,0.82,0.77,0.87
KEN,2005,0.84,0.79,0.89
KEN,2006,0.83,0.78,0.88
KEN,2007,0.83,0.78,0.88
KEN,2008,0.83,0.78,0.88
KEN,2009,0.83,0.78,0.88
KEN,2010,0.83,0.78,0.88
KEN,2011,0.83,0.78,0.88
KEN,2012,0.83,0.78,0.88
KEN,2013,0.83,0.78,0.88
KEN,2014,0.83,0.78,0.88
KEN,2015,0.83,0.78,0.88
KEN,2016,0.83,0.78,0.88
KEN,2017,0.83,0.78,0.88
KEN,2018,0.83,0.78,0.88
KEN,2019,0.83,0.78,0.88
KEN,2020,0.84,0.79,0.89
KGZ,2000,2.07,1.9,2.13
KGZ,2001,2.08,1.9,2.14
KGZ,2002,2.08,1.9,2.14
KGZ,2003,2.08,1.9,2.14
KGZ,2004,2.08,1.91,2.14
KGZ,2005,2.1,1.91,2.15
KGZ,2006,2.08,1.91,2.14
KGZ,2007,2.08,1.91,2.14
KGZ,2008,2.09,1.91,2.14
KGZ,2009,2.09,1.91,2.14
KGZ,2010,2.08,1.91,2.13
KGZ,2011,2.09,1.91,2.14
KGZ,2012,2.09,1.91,2.14
KGZ,2013,2.09,1.92,2.14
KGZ,2014,2.09,1.92,2.14
KGZ,2015,2.1,1.92,2.13
KGZ,2016,2.09,1.92,2.14
KGZ,2017,2.09,1.92,2.14
KGZ,2018,2.08,1.92,2.14
KGZ,2019,2.09,1.92,2.14
KGZ,2020,2.09,1.92,2.14
KHM,2000,1.32,1.26,1.3
KHM,2001,1.31,1.26,1.3
KHM,2002,1.32,1.26,1.3
KHM,2003,1.32,1.26,1.3
KHM,2004,1.32,1.27,1.3
KHM,2005,1.31,1.26,1.3
KHM,2006,1.32,1.27,1.3
KHM,2007,1.32,1.27,1.3
KHM,2008,1.33,1.27,1.3
KHM,2009,1.33,1.27,1.3
KHM,2010,1.33,1.28,1.29
KHM,2011,1.33,1.28,1.31
KHM,2012,1.33,1.28,1.31
KHM,2013,1.33,1.28,1.31
KHM,2014,1.33,1.28,1.31
KHM,2015,1.34,1.29,1.32
KHM,2016,1.34,1.28,1.31
KHM,2017,1.34,1.29,1.31
KHM,2018,1.34,1.28,1.31
KHM,2019,1.34,1.29,1.31
KHM,2020,1.34,1.29,1.31
KIR,2000,1.3,1.24,1.28
KIR,2001,1.31,1.25,1.28
KIR,2002,1.31,1.26,1.29
KIR,2003,1.31,1.26,1.29
KIR,2004,1.31,1.26,1.29
KIR,2005,1.33,1.28,1.3
KIR,2006,1.32,1.26,1.29
KIR,2007,1.32,1.27,1.29
KIR,2008,1.32,1.27,1.29
KIR,2009,1.32,1.27,1.29
KIR,2010,1.32,1.27,1.28
KIR,2011,1.32,1.27,1.3
KIR,2012,1.33,1.27,1.3
KIR,2013,1.33,1.28,1.3
KIR,2014,1.33,1.28,1.3
KIR,2015,1.33,1.28,1.31
KIR,2016,1.33,1.28,1.3
KIR,2017,1.33,1.28,1.3
KIR,2018,1.33,1.28,1.3
KIR,2019,1.33,1.29,1.3
KIR,2020,1.34,1.29,1.31
KOR,2000,1.9,1.9,1.91
KOR,2001,1.9,1.9,1.91
KOR,2002,1.91,1.91,1.91
KOR,2003,1.91,1.91,1.91
KOR,2004,1.91,1.91,1.91
KOR,2005,1.91,1.91,1.91
KOR,2006,1.92,1.92,1.92
KOR,2007,1.92,1.92,1.92
KOR,2008,1.92,1.92,1.92
KOR,2009,1.92,1.92,1.92
KOR,2010,1.93,1.93,1.93
KOR,2011,1.93,1.93,1.93
KOR,2012,1.93,1.93,1.93
KOR,2013,1.93,1.93,1.93
KOR,2014,1.93,1.93,1.93
KOR,2015,1.94,1.94,1.94
KOR,2016,1.94,1.94,1.94
KOR,2017,1.94,1.94,1.94
KOR,2018,1.94,1.94,1.94
KOR,2019,1.95,1.95,1.94
KOR,2020,1.95,1.95,1.95
KWT,2000,3.89,3.79,3.99
KWT,2001,2.28,2.23,2.34
KWT,2002,2.11,2.05,2.16
KWT,2003,1.93,1.88,1.98
KWT,2004,1.76,1.71,1.8
KWT,2005,0.0,0.0,0.0
KWT,2006,1.41,1.37,1.44
KWT,2007,1.23,1.2,1.27
KWT,2008,1.06,1.03,1.09
KWT,2009,0.88,0.86,0.91
KWT,2010,0.0,0.0,0.0
KWT,2011,0.53,0.52,0.55
KWT,2012,0.36,0.35,0.37
KWT,2013,0.18,0.18,0.19
KWT,2014,0.01,0.01,0.01
KWT,2015,0.0,0.0,0.0
KWT,2016,-0.34,-0.33,-0.35
KWT,2017,-0.52,-0.5,-0.53
KWT,2018,0.0,0.0,0.0
KWT,2019,-0.87,-0.85,-0.89
KWT,2020,-1.04,-1.02,-1.07
LAO,2000,3.03,3.17,2.89
LAO,2001,3.07,3.21,2.92
LAO,2002,3.06,3.2,2.92
LAO,2003,3.05,3.19,2.91
LAO,2004,3.04,3.18,2.9
LAO,2005,3.05,3.19,2.91
LAO,2006,3.02,3.16,2.88
LAO,2007,3.02,3.15,2.88
LAO,2008,3.01,3.15,2.87
LAO,2009,3.0,3.14,2.86
LAO,2010,3.07,3.21,2.93
LAO,2011,2.98,3.12,2.84
LAO,2012,2.97,3.11,2.84
LAO,2013,2.97,3.1,2.83
LAO,2014,2.96,3.09,2.82
LAO,2015,2.92,3.06,2.78
LAO,2016,2.94,3.08,2.81
LAO,2017,2.93,3.07,2.8
LAO,2018,2.9,3.03,2.77
LAO,2019,2.92,3.05,2.78
LAO,2020,2.91,3.04,2.77
LBN,2000,5.39,3.98,6.73
LBN,2001,5.23,3.88,6.55
LBN,2002,5.2,3.85,6.5
LBN,2003,5.17,3.83,6.46
LBN,2004,5.14,3.81,6.42
LBN,2005,5.03,3.74,6.31
LBN,2006,5.07,3.76,6.34
LBN,2007,5.04,3.73,6.3
LBN,2008,5.01,3.71,6.26
LBN,2009,4.98,3.69,6.22
LBN,2010,4.78,3.55,5.97
LBN,2011,4.92,3.64,6.14
LBN,2012,4.88,3.62,6.1
LBN,2013,4.85,3.59,6.05
LBN,2014,4.82,3.57,6.01
LBN,2015,4.81,3.55,5.98
LBN,2016,4.76,3.52,5.93
LBN,2017,4.73,3.5,5.89
LBN,2018,4.79,3.55,5.98
LBN,2019,4.66,3.45,5.81
LBN,2020,4.63,3.43,5.77
LBR,2000,1.93,1.83,1.94
LBR,2001,1.94,1.84,1.95
LBR,2002,1.94,1.84,1.95
LBR,2003,1.94,1.84,1.95
LBR,2004,1.94,1.84,1.95
LBR,2005,1.95,1.84,1.96
LBR,2006,1.94,1.84,1.95
LBR,2007,1.94,1.84,1.95
LBR,2008,1.94,1.84,1.95
LBR,2009,1.94,1.84,1.95
LBR,2010,1.94,1.84,1.97
LBR,2011,1.95,1.84,1.95
LBR,2012,1.95,1.84,1.95
LBR,2013,1.95,1.84,1.95
LBR,2014,1.95,1.84,1.95
LBR,2015,1.95,1.85,1.93
LBR,2016,1.95,1.84,1.95
LBR,2017,1.95,1.84,1.95
LBR,2018,1.95,1.83,1.96
LBR,2019,1.95,1.84,1.95
LBR,2020,1.95,1.84,1.95
LBY,2000,4.23,3.87,4.33
LBY,2001,4.25,3.92,4.33
LBY,2002,4.24,3.92,4.32
LBY,2003,4.24,3.92,4.31
LBY,2004,4.24,3.92,4.31
LBY,2005,4.27,4.02,4.34
LBY,2006,4.23,3.92,4.29
LBY,2007,4.23,3.92,4.29
LBY,2008,4.22,3.92,4.28
LBY,2009,4.22,3.92,4.27
LBY,2010,4.2,3.87,4.23
LBY,2011,4.21,3.92,4.26
LBY,2012,4.21,3.92,4.25
LBY,2013,4.2,3.92,4.24
LBY,2014,4.2,3.92,4.24
LBY,2015,4.2,3.93,4.18
LBY,2016,4.19,3.91,4.22
LBY,2017,4.19,3.91,4.22
LBY,2018,4.18,3.9,4.26
LBY,2019,4.18,3.91,4.2
LBY,2020,4.18,3.91,4.2
LCA,2000,3.29,3.22,3.32
LCA,2001,3.32,3.25,3.35
LCA,2002,3.32,3.25,3.35
LCA,2003,3.32,3.25,3.35
LCA,2004,3.32,3.25,3.35
LCA,2005,3.36,3.3,3.4
LCA,2006,3.32,3.25,3.35
LCA,2007,3.32,3.25,3.35
LCA,2008,3.32,3.25,3.35
LCA,2009,3.32,3.25,3.35
LCA,2010,3.31,3.25,3.35
LCA,2011,3.32,3.25,3.35
LCA,2012,3.32,3.25,3.35
LCA,2013,3.32,3.25,3.35
LCA,2014,3.32,3.26,3.36
LCA,2015,3.31,3.25,3.35
LCA,2016,3.31,3.26,3.36
LCA,2017,3.31,3.26,3.36
LCA,2018,3.31,3.25,3.35
LCA,2019,3.31,3.26,3.36
LCA,2020,3.31,3.26,3.36
LKA,2000,2.46,2.32,2.44
LKA,2001,2.46,2.33,2.43
LKA,2002,2.46,2.34,2.43
LKA,2003,2.46,2.34,2.43
LKA,2004,2.46,2.34,2.44
LKA,2005,2.44,2.34,2.43
LKA,2006,2.47,2.35,2.45
LKA,2007,2.47,2.36,2.45
LKA,2008,2.47,2.36,2.46
LKA,2009,2.48,2.37,2.46
LKA,2010,2.5,2.4,2.44
LKA,2011,2.48,2.37,2.47
LKA,2012,2.48,2.38,2.47
LKA,2013,2.49,2.38,2.48
LKA,2014,2.49,2.39,2.48
LKA,2015,2.51,2.4,2.5
LKA,2016,2.49,2.39,2.49
LKA,2017,2.5,2.4,2.49
LKA,2018,2.48,2.38,2.5
LKA,2019,2.5,2.41,2.5
LKA,2020,2.5,2.41,2.5
LSO,2000,1.94,1.81,1.94
LSO,2001,1.94,1.82,1.94
LSO,2002,1.95,1.82,1.94
LSO,2003,1.95,1.83,1.94
LSO,2004,1.95,1.83,1.94
LSO,2005,1.95,1.85,1.93
LSO,2006,1.95,1.84,1.94
LSO,2007,1.95,1.84,1.94
LSO,2008,1.95,1.84,1.94
LSO,2009,1.96,1.85,1.94
LSO,2010,1.96,1.84,1.96
LSO,2011,1.96,1.85,1.94
LSO,2012,1.96,1.86,1.95
LSO,2013,1.96,1.86,1.95
LSO,2014,1.96,1.86,1.95
LSO,2015,1.97,1.87,1.94
LSO,2016,1.96,1.87,1.95
LSO,2017,1.97,1.87,1.95
LSO,2018,1.96,1.87,1.95
LSO,2019,1.97,1.88,1.95
LSO,2020,1.97,1.88,1.95
LTU,2000,2.09,1.98,2.2
LTU,2001,2.13,2.02,2.24
LTU,2002,2.14,2.03,2.25
LTU,2003,2.15,2.03,2.26
LTU,2004,2.16,2.04,2.27
LTU,2005,2.2,2.08,2.31
LTU,2006,2.17,2.05,2.28
LTU,2007,2.18,2.06,2.29
LTU,2008,2.19,2.07,2.3
LTU,2009,2.2,2.08,2.31
LTU,2010,2.23,2.1,2.33
LTU,2011,2.22,2.09,2.32
LTU,2012,2.22,2.1,2.33
LTU,2013,2.23,2.1,2.34
LTU,2014,2.24,2.11,2.35
LTU,2015,2.25,2.12,2.36
LTU,2016,2.26,2.13,2.36
LTU,2017,2.27,2.13,2.37
LTU,2018,2.25,2.12,2.36
LTU,2019,2.28,2.15,2.39
LTU,2020,2.29,2.15,2.4
LUX,2000,1.39,1.27,1.41
LUX,2001,1.39,1.28,1.41
LUX,2002,1.39,1.28,1.41
LUX,2003,1.39,1.28,1.4
LUX,2004,1.39,1.28,1.4
LUX,2005,1.4,1.29,1.41
LUX,2006,1.38,1.27,1.4
LUX,2007,1.38,1.27,1.4
LUX,2008,1.38,1.27,1.4
LUX,2009,1.38,1.27,1.4
LUX,2010,1.36,1.26,1.38
LUX,2011,1.38,1.27,1.4
LUX,2012,1.37,1.27,1.4
LUX,2013,1.37,1.27,1.39
LUX,2014,1.37,1.27,1.39
LUX,2015,1.37,1.28,1.39
LUX,2016,1.37,1.27,1.39
LUX,2017,1.37,1.27,1.39
LUX,2018,1.37,1.27,1.4
LUX,2019,1.36,1.27,1.39
LUX,2020,1.36,1.27,1.39
LVA,2000,2.14,1.98,2.18
LVA,2001,2.19,2.02,2.23
LVA,2002,2.19,2.02,2.24
LVA,2003,2.2,2.03,2.24
LVA,2004,2.2,2.03,2.25
LVA,2005,2.28,2.08,2.33
LVA,2006,2.21,2.04,2.26
LVA,2007,2.22,2.05,2.26
LVA,2008,2.23,2.05,2.27
LVA,2009,2.23,2.06,2.27
LVA,2010,2.22,2.06,2.27
LVA,2011,2.24,2.07,2.28
LVA,2012,2.25,2.07,2.29
LVA,2013,2.25,2.08,2.29
LVA,2014,2.26,2.08,2.29
LVA,2015,2.26,2.1,2.28
LVA,2016,2.27,2.09,2.3
LVA,2017,2.27,2.1,2.31
LVA,2018,2.27,2.08,2.31
LVA,2019,2.28,2.11,2.32
LVA,2020,2.29,2.11,2.32
MAR,2000,3.42,3.23,3.58
MAR,2001,3.43,3.24,3.6
MAR,2002,3.44,3.25,3.6
MAR,2003,3.45,3.26,3.61
MAR,2004,3.45,3.26,3.62
MAR,2005,3.46,3.27,3.63
MAR,2006,3.47,3.27,3.63
MAR,2007,3.47,3.28,3.64
MAR,2008,3.48,3.29,3.64
MAR,2009,3.49,3.29,3.65
MAR,2010,3.51,3.31,3.67
MAR,2011,3.5,3.3,3.66
MAR,2012,3.51,3.31,3.67
MAR,2013,3.51,3.32,3.68
MAR,2014,3.52,3.32,3.68
MAR,2015,3.53,3.33,3.69
MAR,2016,3.53,3.34,3.7
MAR,2017,3.54,3.34,3.7
MAR,2018,3.53,3.34,3.7
MAR,2019,3.55,3.35,3.72
MAR,2020,3.56,3.36,3.72
MDA,2000,1.97,1.79,2.02
MDA,2001,2.0,1.82,2.05
MDA,2002,2.0,1.83,2.05
MDA,2003,2.0,1.83,2.05
MDA,2004,2.0,1.83,2.05
MDA,2005,2.04,1.87,2.09
MDA,2006,2.01,1.83,2.06
MDA,2007,2.01,1.84,2.06
MDA,2008,2.01,1.84,2.06
MDA,2009,2.01,1.84,2.06
MDA,2010,2.03,1.86,2.07
MDA,2011,2.02,1.84,2.06
MDA,2012,2.02,1.85,2.07
MDA,2013,2.02,1.85,2.07
MDA,2014,2.02,1.85,2.07
MDA,2015,2.01,1.84,2.06
MDA,2016,2.03,1.86,2.07
MDA,2017,2.03,1.86,2.07
MDA,2018,2.03,1.85,2.07
MDA,2019,2.03,1.86,2.08
MDA,2020,2.04,1.86,2.08
MDG,2000,1.92,1.8,1.92
MDG,2001,1.92,1.8,1.92
MDG,2002,1.9,1.78,1.9
MDG,2003,1.88,1.76,1.88
MDG,2004,1.86,1.75,1.86
MDG,2005,1.94,1.82,1.95
MDG,2006,1.82,1.71,1.83
MDG,2007,1.8,1.69,1.81
MDG,2008,1.78,1.68,1.79
MDG,2009,1.77,1.66,1.77
MDG,2010,1.62,1.53,1.62
MDG,2011,1.73,1.62,1.73
MDG,2012,1.71,1.61,1.71
MDG,2013,1.69,1.59,1.69
MDG,2014,1.67,1.57,1.68
MDG,2015,1.65,1.55,1.66
MDG,2016,1.63,1.54,1.64
MDG,2017,1.61,1.52,1.62
MDG,2018,1.64,1.54,1.64
MDG,2019,1.58,1.48,1.58
MDG,2020,1.56,1.47,1.56
MDV,2000,2.88,2.78,2.83
MDV,2001,2.89,2.77,2.85
MDV,2002,2.89,2.77,2.85
MDV,2003,2.89,2.77,2.85
MDV,2004,2.89,2.77,2.86
MDV,2005,2.88,2.76,2.84
MDV,2006,2.9,2.78,2.86
MDV,2007,2.9,2.78,2.87
MDV,2008,2.9,2.78,2.87
MDV,2009,2.9,2.78,2.87
MDV,2010,2.93,2.77,2.94
MDV,2011,2.9,2.78,2.88
MDV,2012,2.91,2.78,2.88
MDV,2013,2.91,2.78,2.89
MDV,2014,2.91,2.79,2.89
MDV,2015,2.92,2.8,2.9
MDV,2016,2.91,2.79,2.9
MDV,2017,2.92,2.79,2.9
MDV,2018,2.9,2.79,2.87
MDV,2019,2.92,2.79,2.91
MDV,2020,2.92,2.79,2.91
MEX,2000,3.24,3.29,3.19
MEX,2001,3.25,3.3,3.2
MEX,2002,3.25,3.3,3.2
MEX,2003,3.26,3.31,3.21
MEX,2004,3.26,3.31,3.21
MEX,2005,3.26,3.31,3.21
MEX,2006,3.26,3.31,3.21
MEX,2007,3.26,3.31,3.21
MEX,2008,3.27,3.32,3.22
MEX,2009,3.27,3.32,3.22
MEX,2010,3.29,3.34,3.24
MEX,2011,3.27,3.32,3.22
MEX,2012,3.28,3.33,3.23
MEX,2013,3.28,3.33,3.23
MEX,2014,3.28,3.33,3.23
MEX,2015,3.28,3.33,3.23
MEX,2016,3.28,3.33,3.23
MEX,2017,3.29,3.34,3.24
MEX,2018,3.28,3.33,3.23
MEX,2019,3.29,3.34,3.24
MEX,2020,3.29,3.34,3.24
MHL,2000,1.3,1.26,1.26
MHL,2001,1.32,1.27,1.28
MHL,2002,1.31,1.27,1.28
MHL,2003,1.31,1.27,1.28
MHL,2004,1.31,1.27,1.28
MHL,2005,1.33,1.27,1.3
MHL,2006,1.31,1.27,1.28
MHL,2007,1.31,1.26,1.28
MHL,2008,1.31,1.26,1.28
MHL,2009,1.31,1.26,1.29
MHL,2010,1.32,1.27,1.29
MHL,2011,1.31,1.26,1.29
MHL,2012,1.31,1.26,1.29
MHL,2013,1.31,1.26,1.29
MHL,2014,1.31,1.26,1.29
MHL,2015,1.31,1.27,1.3
MHL,2016,1.31,1.26,1.29
MHL,2017,1.31,1.26,1.29
MHL,2018,1.3,1.25,1.28
MHL,2019,1.31,1.26,1.3
MHL,2020,1.31,1.26,1.3
MKD,2000,1.99,1.83,2.05
MKD,2001,1.98,1.81,2.03
MKD,2002,1.99,1.82,2.03
MKD,2003,1.99,1.82,2.04
MKD,2004,1.99,1.83,2.04
MKD,2005,1.96,1.79,1.99
MKD,2006,2.0,1.84,2.05
MKD,2007,2.01,1.84,2.05
MKD,2008,2.01,1.85,2.05
MKD,2009,2.02,1.85,2.06
MKD,2010,2.05,1.88,2.1
MKD,2011,2.02,1.86,2.06
MKD,2012,2.03,1.87,2.07
MKD,2013,2.03,1.87,2.07
MKD,2014,2.04,1.87,2.08
MKD,2015,2.05,1.88,2.07
MKD,2016,2.05,1.88,2.08
MKD,2017,2.05,1.89,2.09
MKD,2018,2.04,1.89,2.09
MKD,2019,2.06,1.9,2.09
MKD,2020,2.06,1.9,2.1
MLI,2000,1.69,1.59,1.69
MLI,2001,1.72,1.62,1.72
MLI,2002,1.72,1.62,1.72
MLI,2003,1.73,1.63,1.73
MLI,2004,1.74,1.63,1.73
MLI,2005,1.76,1.65,1.76
MLI,2006,1.75,1.65,1.74
MLI,2007,1.76,1.65,1.75
MLI,2008,1.77,1.66,1.76
MLI,2009,1.77,1.66,1.76
MLI,2010,1.8,1.7,1.78
MLI,2011,1.79,1.68,1.77
MLI,2012,1.79,1.68,1.78
MLI,2013,1.8,1.69,1.79
MLI,2014,1.81,1.69,1.79
MLI,2015,1.82,1.7,1.79
MLI,2016,1.82,1.71,1.8
MLI,2017,1.83,1.71,1.81
MLI,2018,1.81,1.7,1.81
MLI,2019,1.84,1.72,1.82
MLI,2020,1.85,1.73,1.83
MLT,2000,1.27,1.13,1.39
MLT,2001,1.27,1.13,1.39
MLT,2002,1.27,1.13,1.4
MLT,2003,1.27,1.13,1.4
MLT,2004,1.27,1.13,1.4
MLT,2005,1.27,1.13,1.4
MLT,2006,1.28,1.13,1.4
MLT,2007,1.28,1.13,1.4
MLT,2008,1.28,1.13,1.4
MLT,2009,1.28,1.14,1.4
MLT,2010,1.28,1.14,1.41
MLT,2011,1.28,1.14,1.41
MLT,2012,1.28,1.14,1.41
MLT,2013,1.28,1.14,1.41
MLT,2014,1.29,1.14,1.41
MLT,2015,1.29,1.14,1.41
MLT,2016,1.29,1.14,1.41
MLT,2017,1.29,1.14,1.41
MLT,2018,1.29,1.14,1.41
MLT,2019,1.29,1.14,1.41
MLT,2020,1.29,1.14,1.42
MMR,2000,1.32,1.26,1.3
MMR,2001,1.32,1.27,1.3
MMR,2002,1.32,1.27,1.3
MMR,2003,1.32,1.27,1.3
MMR,2004,1.32,1.27,1.3
MMR,2005,1.32,1.27,1.3
MMR,2006,1.32,1.27,1.3
MMR,2007,1.32,1.27,1.3
MMR,2008,1.32,1.27,1.3
MMR,2009,1.32,1.27,1.3
MMR,2010,1.33,1.27,1.3
MMR,2011,1.32,1.27,1.3
MMR,2012,1.32,1.27,1.3
MMR,2013,1.32,1.27,1.3
MMR,2014,1.33,1.27,1.3
MMR,2015,1.33,1.29,1.3
MMR,2016,1.33,1.27,1.3
MMR,2017,1.33,1.27,1.3
MMR,2018,1.32,1.26,1.3
MMR,2019,1.33,1.28,1.3
MMR,2020,1.33,1.28,1.3
MNE,2000,2.01,1.85,2.06
MNE,2001,2.03,1.87,2.08
MNE,2002,2.04,1.88,2.09
MNE,2003,2.06,1.9,2.11
MNE,2004,2.08,1.92,2.13
MNE,2005,2.03,1.86,2.09
MNE,2006,2.12,1.95,2.16
MNE,2007,2.13,1.96,2.18
MNE,2008,2.15,1.98,2.2
MNE,2009,2.17,2.0,2.21
MNE,2010,2.28,2.13,2.31
MNE,2011,2.21,2.03,2.25
MNE,2012,2.22,2.04,2.27
MNE,2013,2.24,2.06,2.28
MNE,2014,2.26,2.08,2.3
MNE,2015,2.31,2.11,2.34
MNE,2016,2.29,2.11,2.33
MNE,2017,2.31,2.12,2.35
MNE,2018,2.27,2.08,2.32
MNE,2019,2.35,2.16,2.39
MNE,2020,2.37,2.17,2.4
MNG,2000,2.92,2.8,3.04
MNG,2001,2.89,2.77,3.0
MNG,2002,2.89,2.77,3.0
MNG,2003,2.89,2.77,3.0
MNG,2004,2.88,2.76,3.0
MNG,2005,2.86,2.74,2.97
MNG,2006,2.88,2.76,2.99
MNG,2007,2.88,2.76,2.99
MNG,2008,2.88,2.76,2.99
MNG,2009,2.88,2.76,2.99
MNG,2010,2.84,2.72,2.94
MNG,2011,2.87,2.75,2.98
MNG,2012,2.87,2.75,2.98
MNG,2013,2.87,2.75,2.98
MNG,2014,2.87,2.75,2.98
MNG,2015,2.88,2.76,2.99
MNG,2016,2.87,2.75,2.97
MNG,2017,2.87,2.75,2.97
MNG,2018,2.88,2.76,2.99
MNG,2019,2.86,2.74,2.97
MNG,2020,2.86,2.74,2.97
MOZ,2000,1.52,1.44,1.58
MOZ,2001,1.54,1.46,1.6
MOZ,2002,1.53,1.45,1.59
MOZ,2003,1.53,1.45,1.59
