iso3,year,salt_intake_pd_median,salt_intake_pd_median_female,salt_intake_pd_median_male
MOZ,2004,1.52,1.44,1.58
MOZ,2005,1.53,1.45,1.59
MOZ,2006,1.51,1.43,1.57
MOZ,2007,1.51,1.43,1.57
MOZ,2008,1.5,1.42,1.56
MOZ,2009,1.5,1.42,1.56
MOZ,2010,1.54,1.46,1.6
MOZ,2011,1.49,1.41,1.55
MOZ,2012,1.48,1.4,1.54
MOZ,2013,1.48,1.4,1.54
MOZ,2014,1.47,1.39,1.53
MOZ,2015,1.45,1.37,1.51
MOZ,2016,1.46,1.38,1.52
MOZ,2017,1.46,1.38,1.52
MOZ,2018,1.44,1.36,1.5
MOZ,2019,1.45,1.37,1.51
MOZ,2020,1.44,1.36,1.5
MRT,2000,1.74,1.65,1.77
MRT,2001,1.74,1.64,1.75
MRT,2002,1.74,1.64,1.75
MRT,2003,1.74,1.64,1.74
MRT,2004,1.74,1.64,1.74
MRT,2005,1.75,1.64,1.73
MRT,2006,1.74,1.64,1.74
MRT,2007,1.74,1.64,1.74
MRT,2008,1.74,1.64,1.74
MRT,2009,1.74,1.64,1.74
MRT,2010,1.72,1.62,1.71
MRT,2011,1.74,1.63,1.74
MRT,2012,1.73,1.63,1.74
MRT,2013,1.73,1.63,1.74
MRT,2014,1.73,1.63,1.74
MRT,2015,1.73,1.63,1.74
MRT,2016,1.73,1.63,1.74
MRT,2017,1.73,1.63,1.74
MRT,2018,1.74,1.64,1.76
MRT,2019,1.73,1.63,1.74
MRT,2020,1.73,1.63,1.74
MUS,2000,1.69,1.62,1.68
MUS,2001,1.71,1.63,1.69
MUS,2002,1.71,1.63,1.69
MUS,2003,1.71,1.63,1.69
MUS,2004,1.71,1.63,1.69
MUS,2005,1.73,1.64,1.7
MUS,2006,1.71,1.63,1.69
MUS,2007,1.71,1.63,1.7
MUS,2008,1.71,1.63,1.7
MUS,2009,1.71,1.63,1.7
MUS,2010,1.71,1.63,1.7
MUS,2011,1.71,1.63,1.7
MUS,2012,1.71,1.63,1.7
MUS,2013,1.71,1.63,1.7
MUS,2014,1.72,1.63,1.71
MUS,2015,1.72,1.64,1.72
MUS,2016,1.72,1.63,1.71
MUS,2017,1.72,1.63,1.71
MUS,2018,1.71,1.62,1.7
MUS,2019,1.72,1.63,1.71
MUS,2020,1.72,1.63,1.71
MWI,2000,1.08,1.03,1.12
MWI,2001,1.08,1.03,1.12
MWI,2002,1.08,1.03,1.12
MWI,2003,1.08,1.03,1.12
MWI,2004,1.08,1.03,1.12
MWI,2005,1.07,1.03,1.12
MWI,2006,1.08,1.03,1.12
MWI,2007,1.08,1.03,1.12
MWI,2008,1.08,1.03,1.12
MWI,2009,1.08,1.04,1.13
MWI,2010,1.09,1.04,1.13
MWI,2011,1.09,1.04,1.13
MWI,2012,1.09,1.04,1.13
MWI,2013,1.09,1.04,1.13
MWI,2014,1.09,1.04,1.13
MWI,2015,1.09,1.04,1.13
MWI,2016,1.09,1.04,1.13
MWI,2017,1.09,1.04,1.13
MWI,2018,1.09,1.04,1.13
MWI,2019,1.09,1.04,1.13
MWI,2020,1.09,1.04,1.13
MYS,2000,1.38,1.37,1.4
MYS,2001,1.38,1.37,1.4
MYS,2002,1.38,1.37,1.4
MYS,2003,1.38,1.37,1.4
MYS,2004,1.38,1.37,1.4
MYS,2005,1.37,1.36,1.39
MYS,2006,1.38,1.37,1.4
MYS,2007,1.39,1.37,1.41
MYS,2008,1.39,1.37,1.41
MYS,2009,1.39,1.37,1.41
MYS,2010,1.4,1.38,1.42
MYS,2011,1.39,1.38,1.41
MYS,2012,1.39,1.38,1.41
MYS,2013,1.4,1.38,1.42
MYS,2014,1.4,1.38,1.42
MYS,2015,1.4,1.38,1.42
MYS,2016,1.4,1.38,1.42
MYS,2017,1.4,1.38,1.42
MYS,2018,1.4,1.38,1.42
MYS,2019,1.4,1.38,1.42
MYS,2020,1.41,1.38,1.43
NAM,2000,1.78,1.68,1.77
NAM,2001,1.77,1.68,1.76
NAM,2002,1.77,1.68,1.76
NAM,2003,1.77,1.67,1.76
NAM,2004,1.77,1.67,1.76
NAM,2005,1.76,1.67,1.75
NAM,2006,1.77,1.67,1.76
NAM,2007,1.77,1.67,1.76
NAM,2008,1.77,1.67,1.76
NAM,2009,1.76,1.67,1.76
NAM,2010,1.76,1.67,1.76
NAM,2011,1.76,1.67,1.76
NAM,2012,1.76,1.67,1.76
NAM,2013,1.76,1.67,1.76
NAM,2014,1.76,1.67,1.76
NAM,2015,1.75,1.66,1.77
NAM,2016,1.76,1.67,1.76
NAM,2017,1.76,1.66,1.76
NAM,2018,1.77,1.67,1.76
NAM,2019,1.76,1.66,1.76
NAM,2020,1.76,1.66,1.76
NER,2000,1.78,1.69,1.76
NER,2001,1.78,1.68,1.77
NER,2002,1.78,1.68,1.77
NER,2003,1.78,1.68,1.78
NER,2004,1.78,1.68,1.78
NER,2005,1.78,1.67,1.79
NER,2006,1.78,1.68,1.78
NER,2007,1.78,1.68,1.78
NER,2008,1.78,1.68,1.78
NER,2009,1.78,1.68,1.78
NER,2010,1.79,1.7,1.78
NER,2011,1.78,1.68,1.78
NER,2012,1.78,1.68,1.78
NER,2013,1.78,1.68,1.78
NER,2014,1.78,1.68,1.78
NER,2015,1.78,1.66,1.79
NER,2016,1.78,1.68,1.78
NER,2017,1.78,1.68,1.78
NER,2018,1.77,1.69,1.76
NER,2019,1.78,1.68,1.78
NER,2020,1.78,1.68,1.78
NGA,2000,1.9,1.86,1.94
NGA,2001,1.89,1.86,1.93
NGA,2002,1.89,1.86,1.93
NGA,2003,1.89,1.85,1.93
NGA,2004,1.89,1.85,1.93
NGA,2005,1.89,1.85,1.93
NGA,2006,1.9,1.85,1.94
NGA,2007,1.9,1.85,1.94
NGA,2008,1.9,1.85,1.94
NGA,2009,1.9,1.85,1.94
NGA,2010,1.89,1.85,1.93
NGA,2011,1.9,1.85,1.94
NGA,2012,1.9,1.85,1.94
NGA,2013,1.9,1.85,1.94
NGA,2014,1.9,1.85,1.94
NGA,2015,1.9,1.85,1.94
NGA,2016,1.9,1.85,1.94
NGA,2017,1.9,1.85,1.94
NGA,2018,1.9,1.85,1.94
NGA,2019,1.9,1.85,1.94
NGA,2020,1.9,1.85,1.94
NIC,2000,3.01,2.81,3.0
NIC,2001,3.03,2.86,3.02
NIC,2002,3.04,2.87,3.03
NIC,2003,3.05,2.88,3.04
NIC,2004,3.06,2.89,3.05
NIC,2005,3.07,2.91,3.07
NIC,2006,3.08,2.91,3.06
NIC,2007,3.09,2.92,3.07
NIC,2008,3.1,2.93,3.08
NIC,2009,3.11,2.94,3.09
NIC,2010,3.15,3.01,3.1
NIC,2011,3.12,2.96,3.11
NIC,2012,3.13,2.97,3.12
NIC,2013,3.14,2.98,3.13
NIC,2014,3.15,2.98,3.14
NIC,2015,3.15,3.0,3.14
NIC,2016,3.17,3.0,3.15
NIC,2017,3.18,3.01,3.16
NIC,2018,3.18,2.98,3.17
NIC,2019,3.2,3.03,3.18
NIC,2020,3.21,3.04,3.19
NLD,2000,0.97,0.9,1.04
NLD,2001,0.97,0.9,1.04
NLD,2002,0.97,0.9,1.04
NLD,2003,0.97,0.9,1.04
NLD,2004,0.97,0.9,1.04
NLD,2005,0.96,0.89,1.03
NLD,2006,0.97,0.9,1.04
NLD,2007,0.98,0.91,1.05
NLD,2008,0.98,0.91,1.05
NLD,2009,0.98,0.91,1.05
NLD,2010,0.99,0.92,1.06
NLD,2011,0.98,0.91,1.05
NLD,2012,0.98,0.91,1.05
NLD,2013,0.99,0.92,1.06
NLD,2014,0.99,0.92,1.06
NLD,2015,0.99,0.92,1.06
NLD,2016,0.99,0.92,1.06
NLD,2017,0.99,0.92,1.06
NLD,2018,0.99,0.92,1.06
NLD,2019,0.99,0.92,1.06
NLD,2020,1.0,0.93,1.07
NOR,2000,1.27,1.18,1.29
NOR,2001,1.27,1.19,1.29
NOR,2002,1.27,1.19,1.29
NOR,2003,1.28,1.19,1.29
NOR,2004,1.28,1.19,1.29
NOR,2005,1.28,1.19,1.29
NOR,2006,1.28,1.19,1.29
NOR,2007,1.28,1.19,1.29
NOR,2008,1.28,1.19,1.29
NOR,2009,1.28,1.19,1.29
NOR,2010,1.28,1.19,1.29
NOR,2011,1.28,1.19,1.29
NOR,2012,1.28,1.19,1.3
NOR,2013,1.28,1.19,1.3
NOR,2014,1.28,1.19,1.3
NOR,2015,1.29,1.21,1.3
NOR,2016,1.28,1.19,1.3
NOR,2017,1.29,1.19,1.3
NOR,2018,1.28,1.17,1.3
NOR,2019,1.29,1.19,1.3
NOR,2020,1.29,1.19,1.3
NPL,2000,2.99,2.82,2.93
NPL,2001,3.02,2.86,2.97
NPL,2002,3.01,2.86,2.97
NPL,2003,3.0,2.85,2.96
NPL,2004,2.99,2.84,2.95
NPL,2005,2.99,2.87,2.96
NPL,2006,2.98,2.83,2.94
NPL,2007,2.97,2.83,2.93
NPL,2008,2.96,2.82,2.92
NPL,2009,2.95,2.82,2.92
NPL,2010,3.03,2.88,3.01
NPL,2011,2.94,2.8,2.9
NPL,2012,2.93,2.8,2.89
NPL,2013,2.92,2.79,2.89
NPL,2014,2.91,2.79,2.88
NPL,2015,2.87,2.74,2.85
NPL,2016,2.9,2.78,2.87
NPL,2017,2.89,2.77,2.86
NPL,2018,2.86,2.75,2.81
NPL,2019,2.87,2.76,2.84
NPL,2020,2.86,2.75,2.84
NZL,2000,1.06,1.06,1.05
NZL,2001,1.06,1.06,1.05
NZL,2002,1.06,1.06,1.05
NZL,2003,1.06,1.07,1.05
NZL,2004,1.06,1.07,1.06
NZL,2005,1.05,1.06,1.05
NZL,2006,1.07,1.07,1.06
NZL,2007,1.07,1.07,1.06
NZL,2008,1.07,1.08,1.06
NZL,2009,1.07,1.08,1.07
NZL,2010,1.09,1.1,1.08
NZL,2011,1.08,1.08,1.07
NZL,2012,1.08,1.08,1.07
NZL,2013,1.08,1.09,1.07
NZL,2014,1.08,1.09,1.08
NZL,2015,1.09,1.09,1.08
NZL,2016,1.09,1.09,1.08
NZL,2017,1.09,1.09,1.08
NZL,2018,1.08,1.09,1.08
NZL,2019,1.09,1.1,1.09
NZL,2020,1.09,1.1,1.09
OMN,2000,4.27,3.94,4.35
OMN,2001,4.26,3.96,4.34
OMN,2002,4.27,3.97,4.35
OMN,2003,4.28,3.98,4.35
OMN,2004,4.29,3.99,4.36
OMN,2005,4.24,3.98,4.32
OMN,2006,4.3,4.01,4.37
OMN,2007,4.31,4.02,4.38
OMN,2008,4.31,4.03,4.38
OMN,2009,4.32,4.04,4.39
OMN,2010,4.38,4.1,4.43
OMN,2011,4.33,4.06,4.4
OMN,2012,4.34,4.08,4.4
OMN,2013,4.35,4.09,4.41
OMN,2014,4.35,4.1,4.41
OMN,2015,4.37,4.12,4.44
OMN,2016,4.37,4.12,4.42
OMN,2017,4.38,4.13,4.43
OMN,2018,4.36,4.11,4.41
OMN,2019,4.39,4.15,4.44
OMN,2020,4.4,4.16,4.45
PAK,2000,2.83,2.71,2.8
PAK,2001,2.83,2.71,2.8
PAK,2002,2.83,2.71,2.8
PAK,2003,2.83,2.72,2.8
PAK,2004,2.83,2.72,2.8
PAK,2005,2.82,2.72,2.79
PAK,2006,2.84,2.73,2.8
PAK,2007,2.84,2.73,2.81
PAK,2008,2.84,2.73,2.81
PAK,2009,2.84,2.74,2.81
PAK,2010,2.85,2.74,2.82
PAK,2011,2.85,2.74,2.81
PAK,2012,2.85,2.75,2.81
PAK,2013,2.85,2.75,2.81
PAK,2014,2.85,2.76,2.81
PAK,2015,2.86,2.76,2.83
PAK,2016,2.86,2.76,2.81
PAK,2017,2.86,2.77,2.82
PAK,2018,2.86,2.77,2.8
PAK,2019,2.86,2.77,2.82
PAK,2020,2.87,2.78,2.82
PAN,2000,3.16,3.02,3.14
PAN,2001,3.17,3.02,3.14
PAN,2002,3.17,3.02,3.14
PAN,2003,3.17,3.02,3.15
PAN,2004,3.17,3.02,3.15
PAN,2005,3.17,3.0,3.15
PAN,2006,3.17,3.02,3.15
PAN,2007,3.18,3.02,3.16
PAN,2008,3.18,3.03,3.16
PAN,2009,3.18,3.03,3.16
PAN,2010,3.19,3.04,3.17
PAN,2011,3.18,3.03,3.17
PAN,2012,3.18,3.03,3.17
PAN,2013,3.19,3.03,3.17
PAN,2014,3.19,3.03,3.18
PAN,2015,3.2,3.07,3.16
PAN,2016,3.19,3.04,3.18
PAN,2017,3.19,3.04,3.18
PAN,2018,3.18,3.01,3.2
PAN,2019,3.2,3.04,3.19
PAN,2020,3.2,3.04,3.19
PER,2000,3.0,2.85,2.98
PER,2001,3.01,2.86,2.99
PER,2002,3.02,2.87,3.0
PER,2003,3.03,2.87,3.0
PER,2004,3.03,2.88,3.01
PER,2005,3.03,2.87,3.01
PER,2006,3.05,2.9,3.03
PER,2007,3.05,2.9,3.03
PER,2008,3.06,2.91,3.04
PER,2009,3.07,2.92,3.05
PER,2010,3.1,2.95,3.08
PER,2011,3.08,2.93,3.06
PER,2012,3.09,2.94,3.07
PER,2013,3.1,2.95,3.08
PER,2014,3.1,2.95,3.08
PER,2015,3.11,2.98,3.08
PER,2016,3.12,2.97,3.1
PER,2017,3.12,2.98,3.11
PER,2018,3.12,2.96,3.11
PER,2019,3.14,2.99,3.12
PER,2020,3.15,3.0,3.13
PHL,2000,1.13,1.1,1.11
PHL,2001,1.14,1.1,1.11
PHL,2002,1.14,1.11,1.12
PHL,2003,1.14,1.11,1.12
PHL,2004,1.14,1.11,1.12
PHL,2005,1.15,1.11,1.12
PHL,2006,1.15,1.11,1.12
PHL,2007,1.15,1.11,1.13
PHL,2008,1.15,1.11,1.13
PHL,2009,1.15,1.11,1.13
PHL,2010,1.16,1.12,1.14
PHL,2011,1.16,1.11,1.13
PHL,2012,1.16,1.11,1.14
PHL,2013,1.16,1.11,1.14
PHL,2014,1.16,1.12,1.14
PHL,2015,1.16,1.11,1.15
PHL,2016,1.17,1.12,1.15
PHL,2017,1.17,1.12,1.15
PHL,2018,1.17,1.12,1.14
PHL,2019,1.17,1.12,1.15
PHL,2020,1.17,1.12,1.15
PNG,2000,1.3,1.26,1.27
PNG,2001,1.3,1.26,1.28
PNG,2002,1.3,1.26,1.28
PNG,2003,1.3,1.26,1.28
PNG,2004,1.31,1.26,1.28
PNG,2005,1.31,1.27,1.29
PNG,2006,1.31,1.26,1.28
PNG,2007,1.31,1.26,1.28
PNG,2008,1.31,1.27,1.28
PNG,2009,1.31,1.27,1.28
PNG,2010,1.31,1.26,1.29
PNG,2011,1.31,1.27,1.28
PNG,2012,1.31,1.27,1.29
PNG,2013,1.31,1.27,1.29
PNG,2014,1.31,1.27,1.29
PNG,2015,1.31,1.27,1.28
PNG,2016,1.32,1.27,1.29
PNG,2017,1.32,1.27,1.29
PNG,2018,1.32,1.27,1.29
PNG,2019,1.32,1.27,1.29
PNG,2020,1.32,1.27,1.29
POL,2000,2.38,1.88,2.86
POL,2001,2.38,1.88,2.85
POL,2002,2.38,1.88,2.85
POL,2003,2.38,1.88,2.85
POL,2004,2.38,1.88,2.85
POL,2005,2.37,1.87,2.84
POL,2006,2.38,1.88,2.85
POL,2007,2.38,1.88,2.85
POL,2008,2.38,1.88,2.85
POL,2009,2.38,1.88,2.85
POL,2010,2.38,1.88,2.85
POL,2011,2.38,1.88,2.85
POL,2012,2.38,1.88,2.85
POL,2013,2.38,1.88,2.85
POL,2014,2.38,1.88,2.85
POL,2015,2.38,1.88,2.85
POL,2016,2.38,1.88,2.85
POL,2017,2.38,1.88,2.85
POL,2018,2.38,1.88,2.85
POL,2019,2.38,1.88,2.85
POL,2020,2.38,1.88,2.85
PRT,2000,1.51,1.52,1.51
PRT,2001,1.51,1.52,1.51
PRT,2002,1.51,1.52,1.51
PRT,2003,1.51,1.52,1.51
PRT,2004,1.51,1.52,1.51
PRT,2005,1.51,1.52,1.51
PRT,2006,1.51,1.52,1.51
PRT,2007,1.51,1.52,1.51
PRT,2008,1.51,1.52,1.51
PRT,2009,1.51,1.52,1.51
PRT,2010,1.52,1.52,1.51
PRT,2011,1.51,1.52,1.51
PRT,2012,1.51,1.52,1.51
PRT,2013,1.51,1.52,1.51
PRT,2014,1.51,1.52,1.51
PRT,2015,1.51,1.52,1.51
PRT,2016,1.51,1.52,1.51
PRT,2017,1.51,1.52,1.51
PRT,2018,1.51,1.52,1.51
PRT,2019,1.51,1.52,1.51
PRT,2020,1.51,1.52,1.51
PRY,2000,3.14,2.96,3.13
PRY,2001,3.13,2.96,3.12
PRY,2002,3.14,2.96,3.12
PRY,2003,3.14,2.97,3.12
PRY,2004,3.14,2.97,3.13
PRY,2005,3.14,2.97,3.11
PRY,2006,3.15,2.97,3.13
PRY,2007,3.15,2.97,3.14
PRY,2008,3.16,2.97,3.14
PRY,2009,3.16,2.98,3.14
PRY,2010,3.16,2.98,3.14
PRY,2011,3.16,2.98,3.15
PRY,2012,3.17,2.98,3.15
PRY,2013,3.17,2.98,3.16
PRY,2014,3.17,2.99,3.16
PRY,2015,3.16,2.98,3.16
PRY,2016,3.18,2.99,3.17
PRY,2017,3.18,2.99,3.17
PRY,2018,3.2,3.0,3.19
PRY,2019,3.19,3.0,3.18
PRY,2020,3.19,3.0,3.18
PSE,2000,3.89,3.63,3.87
PSE,2001,3.91,3.66,3.92
PSE,2002,4.0,3.74,4.01
PSE,2003,4.08,3.81,4.09
PSE,2004,4.16,3.89,4.17
PSE,2005,3.88,3.63,3.93
PSE,2006,4.32,4.04,4.34
PSE,2007,4.4,4.11,4.43
PSE,2008,4.48,4.19,4.51
PSE,2009,4.57,4.26,4.59
PSE,2010,5.08,4.76,5.14
PSE,2011,4.73,4.42,4.76
PSE,2012,4.81,4.49,4.85
PSE,2013,4.89,4.57,4.93
PSE,2014,4.97,4.64,5.01
PSE,2015,5.11,4.76,5.1
PSE,2016,5.14,4.79,5.18
PSE,2017,5.22,4.87,5.26
PSE,2018,5.11,4.77,5.18
PSE,2019,5.38,5.02,5.43
PSE,2020,5.46,5.1,5.52
QAT,2000,4.26,4.02,4.28
QAT,2001,4.25,3.99,4.27
QAT,2002,4.26,4.0,4.28
QAT,2003,4.27,4.0,4.29
QAT,2004,4.27,4.01,4.3
QAT,2005,4.21,3.94,4.25
QAT,2006,4.29,4.02,4.32
QAT,2007,4.3,4.03,4.33
QAT,2008,4.3,4.03,4.34
QAT,2009,4.31,4.04,4.35
QAT,2010,4.39,4.08,4.41
QAT,2011,4.33,4.05,4.37
QAT,2012,4.33,4.06,4.38
QAT,2013,4.34,4.07,4.39
QAT,2014,4.35,4.07,4.4
QAT,2015,4.39,4.1,4.47
QAT,2016,4.36,4.08,4.42
QAT,2017,4.37,4.09,4.43
QAT,2018,4.33,4.08,4.39
QAT,2019,4.39,4.1,4.45
QAT,2020,4.39,4.11,4.46
ROU,2000,2.73,2.66,2.79
ROU,2001,2.77,2.7,2.83
ROU,2002,2.77,2.7,2.83
ROU,2003,2.77,2.7,2.83
ROU,2004,2.78,2.71,2.84
ROU,2005,2.82,2.75,2.88
ROU,2006,2.78,2.71,2.84
ROU,2007,2.79,2.72,2.85
ROU,2008,2.79,2.72,2.85
ROU,2009,2.79,2.72,2.85
ROU,2010,2.8,2.73,2.87
ROU,2011,2.8,2.73,2.86
ROU,2012,2.8,2.73,2.86
ROU,2013,2.81,2.74,2.87
ROU,2014,2.81,2.74,2.87
ROU,2015,2.81,2.74,2.87
ROU,2016,2.82,2.75,2.88
ROU,2017,2.82,2.75,2.88
ROU,2018,2.81,2.74,2.87
ROU,2019,2.83,2.76,2.89
ROU,2020,2.83,2.76,2.89
RUS,2000,1.9,1.76,2.02
RUS,2001,1.92,1.78,2.05
RUS,2002,1.92,1.78,2.05
RUS,2003,1.93,1.79,2.05
RUS,2004,1.93,1.79,2.06
RUS,2005,1.95,1.81,2.08
RUS,2006,1.94,1.8,2.07
RUS,2007,1.94,1.8,2.07
RUS,2008,1.94,1.8,2.07
RUS,2009,1.95,1.8,2.08
RUS,2010,1.96,1.82,2.1
RUS,2011,1.95,1.81,2.09
RUS,2012,1.96,1.81,2.09
RUS,2013,1.96,1.82,2.09
RUS,2014,1.97,1.82,2.1
RUS,2015,1.97,1.82,2.1
RUS,2016,1.97,1.82,2.11
RUS,2017,1.98,1.83,2.11
RUS,2018,1.97,1.82,2.1
RUS,2019,1.98,1.83,2.12
RUS,2020,1.99,1.84,2.12
RWA,2000,1.66,1.56,1.65
RWA,2001,1.65,1.56,1.64
RWA,2002,1.66,1.56,1.65
RWA,2003,1.66,1.56,1.65
RWA,2004,1.66,1.56,1.65
RWA,2005,1.66,1.55,1.65
RWA,2006,1.66,1.56,1.65
RWA,2007,1.66,1.56,1.65
RWA,2008,1.66,1.56,1.66
RWA,2009,1.66,1.56,1.66
RWA,2010,1.64,1.57,1.64
RWA,2011,1.66,1.57,1.66
RWA,2012,1.66,1.57,1.66
RWA,2013,1.66,1.57,1.66
RWA,2014,1.66,1.57,1.67
RWA,2015,1.66,1.56,1.67
RWA,2016,1.66,1.57,1.67
RWA,2017,1.66,1.57,1.67
RWA,2018,1.67,1.58,1.68
RWA,2019,1.66,1.57,1.67
RWA,2020,1.66,1.57,1.68
SAU,2000,4.01,3.93,4.09
SAU,2001,4.02,3.94,4.09
SAU,2002,4.02,3.94,4.1
SAU,2003,4.03,3.95,4.11
SAU,2004,4.03,3.95,4.11
SAU,2005,4.01,3.93,4.09
SAU,2006,4.04,3.97,4.12
SAU,2007,4.05,3.97,4.13
SAU,2008,4.05,3.98,4.14
SAU,2009,4.06,3.98,4.14
SAU,2010,4.11,4.04,4.19
SAU,2011,4.07,4.0,4.15
SAU,2012,4.07,4.0,4.16
SAU,2013,4.08,4.01,4.17
SAU,2014,4.09,4.01,4.17
SAU,2015,4.09,4.02,4.18
SAU,2016,4.1,4.03,4.18
SAU,2017,4.1,4.03,4.19
SAU,2018,4.09,4.02,4.18
SAU,2019,4.11,4.04,4.2
SAU,2020,4.12,4.05,4.21
SDN,2000,1.86,1.76,1.88
SDN,2001,1.87,1.76,1.88
SDN,2002,1.87,1.76,1.88
SDN,2003,1.87,1.76,1.88
SDN,2004,1.87,1.76,1.88
SDN,2005,1.9,1.76,1.9
SDN,2006,1.87,1.76,1.88
SDN,2007,1.87,1.75,1.88
SDN,2008,1.87,1.75,1.87
SDN,2009,1.87,1.75,1.87
SDN,2010,1.85,1.75,1.85
SDN,2011,1.86,1.75,1.87
SDN,2012,1.86,1.75,1.87
SDN,2013,1.86,1.75,1.87
SDN,2014,1.86,1.75,1.87
SDN,2015,1.86,1.74,1.86
SDN,2016,1.86,1.75,1.86
SDN,2017,1.86,1.75,1.86
SDN,2018,1.86,1.75,1.87
SDN,2019,1.86,1.74,1.86
SDN,2020,1.86,1.74,1.86
